Наименование файла;Название;Категория продукта;Цена
IMG_5818.jpg;Крупа Рис Националь Краснодарский 150Ог:;Рис;302.0
IMG_5822.jpg;Крупа Гречневая Крупинка 0,8кг;Пшеничная крупа;57.0
IMG_5823.jpg;неопределен;Йогурт;40.0
IMG_5825.jpg;9ООг Крупа Рис Националь Золот Пропар;Рис;178.0
IMG_5827.jpg;<упа Кукурузная Агрокультура 6Д0г;Кукурузная крупа;72.00
IMG_5828.jpg;Крупа Рис Агрокультура дпин/зерн 30Ог;Рис;145.00
IMG_5829.jpg;Крупа Ячневая Агрокультура 6ООг;Ячневая крупа;46.0
IMG_5830.jpg;~е =: *;Йогурт;116.0
IMG_5831.jpg;Крупа Булгур Крупинка Классич 0,8кг;Пшеничная крупа;120.00
IMG_5832.jpg;Коула П_етая Ко)ута 0,8я;Йогурт;28.60
IMG_5835.jpg;Крупа Рис Гудвилл Краснодарск шлиф 4ООг куп;Рис;09 1] 1.50
IMG_5836.jpg;Крупа Пшеничная Гудвилл Полтавская ^'4 4ООг куп;Пшеничная крупа;107.00
IMG_5838.jpg;Крупа Пшено Гудвилл шлиф 8ООг м/у;Пшено;108.00
IMG_5840.jpg;Крупа Манная Гудвилл 7ООг м/у;Манная крупа;83.00
IMG_5842.jpg;Крупа Горох Гудвилл Экстра Колотый 8ООг;Маш;101.00
IMG_5843.jpg;неопределен;Йогурт;115.0
IMG_5844.jpg; трупы 8ООг Гречневая м/у Крупа Гудвилл Ядрица;Гречневая крупа;87.| 70
IMG_5845.jpg;Крупа Гречневая Гудвилл Ядрица 200г ^ч;Гречневая крупа;87.70
IMG_5847.jpg;~/,Гурзлуяя пропзршлиф;Йогурт;172.00
IMG_5848.jpg;Рис Макфа длин/зерн шлиф Крупа 400г;Рис;135.0
IMG_5849.jpg;Гречневая Макфа Зеленая Ф0дг Крупа;Макаронные изделия;129.00
IMG_5850.jpg;Крупа Манная Ясно Солнышко Марка М 5ООг;Манная крупа;55.00
IMG_5851.jpg;тиъ&> Крупа Гречневая Макфа Ядрица Экстра 4ООг;Гречневая крупа;86.0
IMG_5852.jpg;Крула Гречневая Макфа Ядрица быстр/вар 80Ог;Гречневая крупа;112.0
IMG_5853.jpg;Крупа Горох Макфа Колот Шлиф 'с 8ООг;Макаронные изделия;103.0
IMG_5855.jpg;Крупа Пшено Увелка шлиф 5*8Ог вар/пак;Пшено;94.0
IMG_5860.jpg;Крупа Рис Макфа длин/зерн шлиф пропар 80Ог;Рис;189.0
IMG_5861.jpg;Крупа Кукурузная Макфа &: 4 7ООг;Кукурузная крупа;89.0
IMG_5862.jpg;Ри с Увелка Длин Пропар в/п Крупа 5* Эг;Рис;120.0
IMG_5863.jpg;Крупа Ячневая Увелка бООг;Ячневая крупа;51.0
IMG_5866.jpg;рупа Манная Увелка Отборная 7ООг;Манная крупа;63.0
IMG_5867.jpg;Крупа Рис Увелка Кругл/Шлиф 80Ог;Рис;120.0
IMG_5868.jpg;Увелка $0Ог Крупл Перловая;Йогурт;65.0
IMG_5870.jpg;{рупа ₽у с Увелка Длин/Пропар в/п;Рис;120.0
IMG_5871.jpg;Крупа Кукурузная Увелка 750г;Кукурузная крупа;67.0
IMG_5872.jpg;Крупа Пшено Увелка шлиф 8ООг;Пшено;85.0
IMG_5873.jpg;Крупа Рис Увелка длин/зерн шлиф 80Ог м/у;Рис;168.0
IMG_5874.jpg;Крупа Геркулес ААКаскад 4ООг;Овсяная крупа;34.0
IMG_5877.jpg;Крупа Горч х ААКаскад Целый 9ООг;Овсяная крупа;54.00
IMG_5878.jpg;Крупа Геркулес ААКаскад 4ООг;Овсяная крупа;34.00
IMG_5879.jpg;Крупа Рис ААКаскад пропар 9ООг;Рис;1 44.00
IMG_5881.jpg;неопределен;Йогурт;65.00
IMG_5882.jpg;Крупа Перловая ААКаскад 9ООг;Овсяная крупа;50.00
IMG_5883.jpg;Крупа Рис ВоЛожка длин/зерн пропар 8ООг;Рис;150.00
IMG_5885.jpg;Крупа Рис ВоЛожка Басмати 80Ог;Рис;288.00
IMG_5886.jpg;Крупа Полба Воложка Цельная 80Ог;Перец;3 9 0 'н.00
IMG_5887.jpg;Крупа Пшеничная ВоЛожка Полтавская7ООг;Пшеничная крупа;0 ^.00
IMG_5888.jpg;Крупа Кукурузная ВоЛожка Южная 7ООг;Кукурузная крупа;55.00
IMG_5889.jpg;Крупа Ячневая ВоЛожка ЯчмАроматная 7ООг;Ячневая крупа;40.00
IMG_5890.jpg;Крупа Манная Альянс Элитная 8ООг Агро;Манная крупа;105.00
IMG_5891.jpg;кроаи, Абинския 2-+ = Крупа Рис АА Классик 8ООг Краснодарск <;Рис;138.00
IMG_5892.jpg;неопределен;Йогурт;150.00
IMG_5896.jpg;Кукурузная Агро Альянс Крупа Классик 70Ог;Кукурузная крупа;65.00
IMG_5897.jpg;Рис АЛьянс Басмати 50Ог Крупа Агро Супер;Рис;207.0
IMG_5898.jpg;Крупа Киноа Альянс 45Ог Агро;Киноа;225 1 <.00
IMG_5899.jpg;хрупа Рис Альянс Смесь Золот/Дикого 50Ог Агро;Рис;275.0
IMG_5900.jpg;Крупа Рис Агро Альянс Смесь БасмДикого 5ООг;Рис;438.0
IMG_5901.jpg;Буе Р,с Аюо Альянс Счесь 5знъасъап Б0г;Йогурт;99 '.00
IMG_5902.jpg;Урупа Рис Агро Альянс д Суши 50Ог;Рис;1 9 1.00
IMG_5903.jpg;Крупа Кускус Альянс Экстра 450г Агро;Маш;143.0
IMG_5907.jpg;Крупа Маш АА Экстра 450г;Маш;11 7 1[ 5 11.00
IMG_5908.jpg;Крупа Горох Альянс Классик шлиф 8ООг Агро;Перец;65.0
IMG_5909.jpg;4; 7оп <лопья 40Ог Классик Агро Альянс еркулес;Йогурт;40.00
IMG_5911.jpg;~м0 р~н, ст: У 8ООг Холмская; Крупа Пшено Агро Альянс Классин;Пшено;7 ( 6.' 00
IMG_5913.jpg;Мак Козачок Спираль в/с 8ООг Изд;Макаронные изделия;49.20
IMG_5915.jpg;мак Йзд Урожай Геро КГ;Макаронные изделия;56.70
IMG_5916.jpg;неопределен;Йогурт;56.70
IMG_5917.jpg;Ракушки в/с Ткг Мак Изд Урожай;Макаронные изделия;56.70
IMG_5920.jpg;Мак Изд Знатные Перья 0977 4ООг;Макаронные изделия;60.00
IMG_5921.jpg;Мак Алмак Рожки в/с 4ООг Изд;Макаронные изделия;59.00
IMG_5923.jpg;Мак Алмак Перья Рифленые в/с 4ООг Изд;Макаронные изделия;59.00
IMG_5924.jpg;Мак Изд Паста Пальмони Перо ГОСТ;Макаронные изделия;57.00
IMG_5925.jpg;неопределен;Йогурт;5 1.00
IMG_5927.jpg;Мак Изд Моллето Петушиные Гребешки 4ООг;Макаронные изделия;45.00
IMG_5929.jpg;Мак Изд Моллето Рожки 4ООг;Макаронные изделия;45.00
IMG_5932.jpg;неопределен;Йогурт;54.00
IMG_5935.jpg;Мак Дала Коста Цв Космические 2ООг Изд;Макаронные изделия;94.00
IMG_5936.jpg;Мак Альпина Звездочки 0,9кг Изд;Макаронные изделия;54.00
IMG_5937.jpg;У:; Уед Ате-а Ратше / уал 39,;Йогурт;94.05
IMG_5938.jpg;Мак Изд )а^а Соз+а Реп<е Рго'е:са Перья с Протеин 4ООг;Макаронные изделия;70 2 15 0.00
IMG_5940.jpg;Мак Изд Аида Мэззи Гомити Рожок 450г;Макаронные изделия;85.00
IMG_5941.jpg;Мак Аида Челлентани Рожок Витой 450г Изд;Макаронные изделия;0П 1 0 1] 7.00
IMG_5942.jpg;мак Изд Аида Пенне Ригате Перо 450г;Макаронные изделия;1[ 12 11.00
IMG_5945.jpg;Мак Агро Альянс Спираль 456 Изд;Макаронные изделия;65.00
IMG_5946.jpg;Ча Изд Аго Альянс Рожок 450г;Макаронные изделия;65.00
IMG_5947.jpg;Мак Агро Альянс Вермишель 450г Изд;Макаронные изделия;65.00
IMG_5948.jpg;0зхнй Бопег Дель Соле Спирали х;Йогурт;3 5.00
IMG_5949.jpg;Мак Изд Боттега Дель Соле Перья фООг;Макаронные изделия;53.00
IMG_5951.jpg;Мак Кардинале Ракушка 40Ог Изд;Макаронные изделия;66.00
IMG_5952.jpg;неопределен;Йогурт;66.00
IMG_5953.jpg;Мак Изд Кардинале Вермишель 4ООг;Макаронные изделия;66.00
IMG_5954.jpg;Мак Изд Кардинале Рожки 4ООг;Макаронные изделия;66.00
IMG_5956.jpg;~~паня; 34-3 10З 4 Мак Дель 0'49 5ООг Кастелло риф ке1з 170 ^ ( Изд Перья;Макаронные изделия;11 71 Д[  5.00
IMG_5957.jpg;Мак Изд Дель Кастелло Спиральки  957 5ООг;Макаронные изделия;1 1 75 1.00
IMG_5958.jpg;Мак Дель Кастелло Рожки Крупные 0955 50Ог Изд;Макаронные изделия;75 1.00
IMG_5959.jpg;неопределен;Йогурт;4.00
IMG_5960.jpg;Пзк Федерусу Гесья ₽ е-ё-=е 50Ог 7зд;Йогурт;( 9.00
IMG_5961.jpg;Мак Федеричи Рожки Рифлёные 50Ог Изд;Макаронные изделия;90 0.00
IMG_5962.jpg;Мяк Им Фелеми (пэл  500г;Йогурт;90.00
IMG_5963.jpg;Мак Изд Союзпищепром Виток 45Ог;Макаронные изделия;68.00
IMG_5965.jpg;Мак Реджия Спираль 500г Изд;Макаронные изделия;37.00
IMG_5966.jpg;Мак Макфа Алфавит ЗООг Изд;Макаронные изделия;64.00
IMG_5968.jpg;Мак Изд Гранд ди Паста Витки 45Ог;Макаронные изделия;02 1.00
IMG_5969.jpg;Мак @@ 91а Саъа\арр1 Рожки 5ООг Изд;Макаронные изделия;71 7 Л[ 3.00
IMG_5970.jpg;Мак Макфа Мини Трубочки в/с А5Ог Изд;Макаронные изделия;87.0
IMG_5971.jpg;Мак Изд Макфа Перья Любител в/с 40т;Макаронные изделия;78.00
IMG_5973.jpg;Мак Макфа Птитим в/с 4ООг Изд;Макаронные изделия;150.0
IMG_5974.jpg;Мак Макфа Королевские Ракушки ЗООг Изд;Макаронные изделия;83.00
IMG_5975.jpg;Макфа Мак Изд Макфа Лапша Волна 5ООг Широкая;Макаронные изделия;1 9 Л[ Д.00
IMG_5977.jpg;Мак Макфа в/с 4ООг Изд Кольца;Макаронные изделия;3 78.00
IMG_5981.jpg;Мак Галина Бланка Спираль З7Ог Изд;Макаронные изделия;82.00
IMG_5983.jpg;Иак Галина Бланке З70г Изд г;эужинки;Макаронные изделия;82 5.00
IMG_5984.jpg;Мак Шебекенские Лагман Лапша З5Ог Изд;Макаронные изделия;4.00
IMG_5986.jpg;Масло Веселая Семья Подсолнечное раф в/с 0,9л ПЭТ;Масло;113.0
IMG_5987.jpg;Масло МакМай Подсолнечное Н/раф 1 Сорт 1л/92Ог пэт;Масло;124.0
IMG_5989.jpg;ММасло Слобода Подсолнечное 1л пэт Нраф;Масло;131.00
IMG_5990.jpg;"СЛО раф 1л пэт Подсолнечное Слобода;Масло;142.0
IMG_5991.jpg;Масло Слобода Оливковое 1л;Йогурт;71 Л[ 6.00
IMG_5993.jpg;Масло Олейна Подсолнечное Классическое л ПЭт;Вода;146.10
IMG_5995.jpg;Масло Благо Кукурузное раф/дез 0,9л пэт;Масло;11 11 55.00
IMG_5997.jpg;"еелавир, ул Воровс раф в/с с 8аЖайное Подсолнечное пэт Масло;Масло;1 05.00
IMG_5998.jpg;МоСло Софос Экстра Ворджин Оливк 500мл;Маш;1 094.00
IMG_5999.jpg;Масло Бокадо Оливковое 5ООмл;Масло;886.00
IMG_6002.jpg;Мука Россия Нова Пшеничная в/с 2кг;Мука;69.00
IMG_6003.jpg;Мука Безымянская Пшенич в/с 2кг;Мука;7 0.00
IMG_6004.jpg;Мука Безымянская Пшенич ыс 1жг;Мука;37.00
IMG_6005.jpg;Мука Безымянская Пшенич в/с 2кг;Мука;77.00
IMG_6006.jpg;неопределен;Йогурт;0.0
IMG_6008.jpg;Мука Кудеснииа Рисовая 50Ог;Мука;93.00
IMG_6011.jpg;Мука Макфа Рисовая 0,5 кг;Мука;16 1.00
IMG_6012.jpg;Макфа Льняная 0,5 кг Мука;Мука;#у 0 1 0.00
IMG_6013.jpg;Макфа Пценичная Экстра 2кг Мука;Мука;16 63.00
IMG_6016.jpg;Хлеб Урожай Бездрожжевой с Отрубями ЗООг уп;Хлеб;36.0
IMG_6017.jpg;Хлеб Урожай Боярский форм ЗООг;Хлеб;45.0
IMG_6020.jpg;Батон Урожай Нарезной 50Ог уп нар;Хлеб;39.0
IMG_6021.jpg;Хлеб Карельский 300 г -9,Ог;Йогурт;65.00
IMG_6022.jpg;Батон Зебра ЗООг -9,Ог;Хлеб;34.00
IMG_6023.jpg;Хлеб отрубной 340 г -3,0%;Хлеб;28.0
IMG_6024.jpg;Хлеб Бородинский 30О г -9,0г;Хлеб;35.00
IMG_6026.jpg;Хлеб Урожай Тостовый Пшен З5Ог форм уп нар;Хлеб;46.0
IMG_6027.jpg;Батон Городской 4ООг -3,0%;Хлеб;36.00
IMG_6028.jpg;Хлеб Урожай Тостовый Мультизлак З5Ог форм уп нар;Хлеб;49.0
