Наименование товара;Категория продукта
Бисквит печен 250г;Печенье
Кофейн печенье с слив крем (вес);Печенье
Песочное печенье солен;Печенье
Оригинальное печенье 750г;Печенье
Десерт печен малин джем (вес);Печенье
Масло Бокадо Оливковое 500мл;Масло
Мак Изд Кардинале Ракушка 400г;Макаронные изделия
Скумбрия с/м;Рыба
Лосось сыр (вес);Рыба
Сёмга копчен (вес);Рыба
Лосось копченный нарез 100г;Рыба
Скумбрия гор копчен (вес);Рыба
Семга с/м;Рыба
Карась золотистый;Рыба
Карась круп (вес);Рыба
Щука свеж (вес);Рыба
Щука копчен (вес);Рыба
Мак Изд Урожай Ракушки в/с 1кг;Макаронные изделия
Мак Изд Аида Мэззи Гомити Рожок 450г;Макаронные изделия
Масло Благо Кукурузное раф/дез 0,9л пэт;Масло
Бабушкина крынка творог 400г Деревенский 5% пакет;Творог
Добрыня творог 5% 450г;Творог
Добрыня творог 15% 450г;Творог
Добрыня творог 5% 900г;Творог
Чудо творог с изюм 250г;Творог
Творог Нежный без ГМО 500г;Творог
Чудо творог слад 350г;Творог
Нежный творог 15% 200г;Творог
Воздушный творог 10% домашний 400г;Творог
Творог свеж домаш без ГМО (вес);Творог
Мак Изд Федеричи Перья Рифлёные 500г;Макаронные изделия
Мак Изд Макфа Алфавит 300г;Макаронные изделия
Крупа Кукурузная Агрокультура 600г;Кукурузная крупа
Крупа Рис АА Классик Краснодарск 800г;Рис
Крупа Ячневая Увелка 600г;Ячневая крупа
Ячн круп 800г;Ячневая крупа
Ячневая каша быстр приг;Ячневая крупа
Круп Ячнев (кг);Ячневая крупа
Хлеб Урожай Тостовый Пшен 350г форм уп нар;Хлеб
Володарушка молоко 900г пастерпастеризованное 2,5% п/э;Молоко пастеризованное
Геркулес молоко 900г пастерпастеризованное 3,2% п/э;Молоко пастеризованное
Володарушка молоко 450г пастепастеризованноер 2,5% п/э;Молоко пастеризованное
Геркулес молоко 900г пастер 2,5% п/э;Молоко пастеризованное
Володарушка молоко 900г пастер 3,2% юут;Молоко пастеризованное
Добрыня молоко 900г пастер 2,5% п/э;Молоко пастеризованное
Володарушка молоко 900г пастер 2,5% п/э;Молоко пастеризованное
Главпродукт молоко 1л пастерпастеризованное 2,5% бут;Молоко пастеризованное
Главпродукт молоко 900г пастер 3,2% п/э;Молоко пастеризованное
Володарушка молоко 0,5л пастер 2,5% бут;Молоко пастеризованное
Крупа Манная Увелка Отборная 700г;Манная крупа
Урожай Манная крупа;Манная крупа
Круп манная урожай;Манная крупа
Круп манная (вес);Манная крупа
Отборная манная круп 800г Чисто поле;Манная крупа
Славный край Манна круп кг;Манная крупа
Мак Изд Алмак Перья Рифленые в/с 400г;Макаронные изделия
Мак Изд Макфа Королевские Ракушки 300г;Макаронные изделия
Крупа Рис Агро Альянс длин/зерн 800г;Рис
Крупа Гречневая Макфа Ядрица Экстра 400г;Гречневая крупа
Лимон;Лимон
Лимн (вес);Лимон
Груз Лимон кг;Лимон
Лимон Абхаз шт;Лимон
Турция Лимон (вес);Лимон
Груз Лимон кг;Лимон
Лимон гибрид кг;Лимон
Гибрид лимон (вес);Лимон
Черн лимон экстра (вес);Лимон
Лимон солнечный кг;Лимон
Мак Изд Козачок Спираль в/с 800г;Макаронные изделия
Крупа Рис Просто Краснодарский 8*62,5г;Рис
Крупа Пшено ААКаскад 900г;Пшено
Вес пшено;Пшено
Пшеничная крупа;Пшеничная крупа
Пшено (вес);Пшено
Пшено урожай кг;Пшено
Сыр Голандский;Сыр
Сыр Русский 100г;Сыр
Сыр Сливочный вес;Сыр
Молодой сыр;Сыр
Русс сыр без ГМО кг;Сыр
Сыр Пан фазан (вес);Сыр
Сыр Дор Блю (вес);Сыр
Вес сыр Голанд гол;Сыр
Крупа Рис Националь Премиум Суши 500г;Рис
Хлеб Урожай Боярский форм 300г уп;Хлеб
Мак Изд Федеричи Спиральки 500г;Макаронные изделия
Батон Урожай Нарезной 500г уп нар;Хлеб
Нектар Мой Апельсин 0,95л т/п;Нектар
Мак Изд Макфа Лапша Широкая Волна 500г;Макаронные изделия
Крупа Рис Лекфарма Адонис пропар 0,9кг;Рис
Кефир Володарушка 2,5% 900г пл;Кефир
Нектар Мой Гранат Виноград 0,95л т/п;Нектар
Нектар Вико Ябл Виноград 1л т/п;Нектар
Нектар АБС мультифрукт 2л т/п;Нектар
Нектар Мой Яблоко Виноград 0,95л т/п;Нектар
Нектар Мой Виноград вишня 1,5л т/п;Нектар
Нектар АБС Гранат  0,95л т/п;Нектар
Нектар АБС апельстин 1л т/п;Нектар
Нектар АБС томат 2л т/п;Нектар
Крупа Пшеничная Гудвилл Полтавская №4 400г к/уп;Пшеничная крупа
Горох Безыменский Колотый 800г;Горох
Крупа Рис Националь Феникс Бур/Красный 800г;Рис
Крупа Рис Националь Золот/Пропар 900г;Рис
Масло Слобода Подсолнечное раф 1л пэт;Масло
Мак Изд Моллето Петушиные Гребешки 400г;Макаронные изделия
Крупа Пшено Агро Альянс Классик 800г;Пшено
Крупа Рис Агрокультура дпин/зерн 800г;Рис
Мак Изд Паста Пальмони Перо ГОСТ 400г;Макаронные изделия
Крупа Манная Агро Альянс Элитная 800г;Манная крупа
Крупа Рис Увелка Кругл/Шлиф 800г;Рис
Добрыня сливки 200г стерил 33% т/п;Сливки
Молочный Мир сливки 500г стерил 45% т/п;Сливки
Молочный Мир сливки 500г стерил 33% т/п;Сливки
Геркулес сливки 350г стерил 45% т/п;Сливки
Молочный Мир сливки 500г стерил 33% т/п;Сливки
Кот матроскин сливки 175г стерил 45% т/п;Сливки
Главпродукт сливки 425г стерил 33% т/п;Сливки
Крупа Рис Макфа длин/зерн шлиф пропар 800г;Рис
Мак Изд Федеричи Рожки Рифлёные 500г;Макаронные изделия
Яйцо 1 шт куриное С1 РФ;Яйца
Яйцо 10 шт куриное С2 ДНР;Яйца
Яйцо дес куриное С0 РФ;Яйца
Яйцо 1 шт куриное С1 ЛНР;Яйца
Яйцо 1 шт куриное С0 РФ;Яйца
Яйцо 10 шт куриное С0 РФ;Яйца
Яйцо дес куриное С1 Запорож обл;Яйца
Крупа Рис Националь Краснодарский 1500г;Рис
Масло Слобода Оливковое 1л;Масло
Крупа Рис Агро Альянс Супер Басмати 500г;Рис
Картофель (вес) фас;Картофель
Картоф Гала меш;Картофель
Картофель Белая ночь (вес);Картофель
Картоф молод кг;Картофель
Картоф сладк (вес);Картофель
Меш Картофель Аврора;Картофель
Вес Картофель Альвара;Картофель
Картофель Аризона (вес);Картофель
Картофель Королева Анна меш;Картофель
Картофель Нандина кг;Картофель
Картофель Розара кг;Картофель
Банан вес;Бананы
Карликовый Кавендиш банан шт;Бананы
Вильямс Банан вес;Бананы
Банан Хайгейт;Бананы
Арвис банан кг;Бананы
Масло Веселая Семья Подсолнечное раф в/с 0,9л пэт;Масло
Десерт Чудо Творож Вишня 4% 100г;Творожок
Творожок Данон;Творожок
Чудо Творожок;Творожок
Творожок Даниссимо;Творожок
Савушкин Творожок;Творожок
Творожок Валио;Творожок
Тёма Творожок;Творожок
Агуша Творожок;Творожок
Творожок фрукт Агуша;Творожок
Творожок шок Агуша;Творожок
Крупа Полба Воложка Цельная 800г;Полба
Крупа Полба Воложка Цельная 400г;Полба
Крупа Полба Новая Цельная кг;Полба
Крупа Полба Урожай кг;Полба
Крупа Полба Уважай Цельная (вес);Полба
Не забывай Полба Воложка Цельная (вес);Полба
Крупа Полба Помогите 1кг;Полба
Крупа Полба я устал 1кг;Полба
Крупа Перловая Агрокультура 800г;Перловая крупа
Крупа Перловая Геркулес 800г;Перловая крупа
Крупа Урожай Перловая 500г;Перловая крупа
Крупа Хуторок Перловая 450г;Перловая крупа
Крупа Урожай Перловая Агрокультура 800г;Перловая крупа
Крупа Доброполье Перловая 800г;Перловая крупа
Крупа Хуторок Перловая 800г;Перловая крупа
Крупа Славушка Перловая 750г;Перловая крупа
Мак Изд Кардинале Спирали 400г;Макаронные изделия
Казбек Аква м/вода 1,5л газ пэт;Вода
Казбек Аква вода 0,5л газ пэт;Вода
Только вода м/вода 1,5л негаз пэт;Вода
Аштау вода 2л газ пэт;Вода
Есентуки м/вода 1л газ пэт;Вода
Казбек Доктор Вассер м/вода 1л газ пэт;Вода
Пиволга вода 5л газ пэт;Вода
Аква вода 5л газ пэт;Вода
Потаскумбрия вода 3л газ пэт;Вода
Аква вода 1л газ пэт;Вода
Мак Изд Урожай Перо 1кг;Макаронные изделия
Мак Изд Моллето Рожки 400г;Макаронные изделия
Крупа Гречневая Агрокультура ядрица 800 г;Гречневая крупа
Мука Россия Нова Пшеничная в/с 2кг;Мука
Плечо индюшиное;Индейка
Пет Индейка бодро;Индейка
Тушка индейки вес;Индейка
Инейка крыл;Индейка
Ножка индейки;Индейка
Грудка индейки;Индейка
Филе индейки;Индейка
Мак Изд Альпина Вермишель 0,9кг;Макаронные изделия
Яблоко Голден соц. товар вес;Яблоки
Крупа Гречневая Крупинка 0,8кг;Гречневая крупа
Добрыня кефир 500г 2,5% пэт;Кефир
Главпродукты кефир 900г 0% п/э;Кефир
Главпродукт кефир 900г 0% п/э;Кефир
Чеченкий кефир 950г 2,5% пэт;Кефир
Знатный кефир 450г 2,5% п/э;Кефир
Сочный кефир 950г 0% п/э;Кефир
Восхитительный кефир 750г 1% п/э;Кефир
Добрыня кефир 300г 1% п/э;Кефир
Крупа Рис Агрокультура длин/зерн пропар 800г;Рис
Куры охлажд;Курица
Куриные головы;Курица
Тушки куриные;Курица
Криная печень;Курица
Окорок куриный;Курица
Ножка куриная;Курица
Стрипсы куриные;Курица
Мемная курича;Курица
Крылышки куриные ;Курица
Мука Макфа Льняная 0,5 кг;Мука
Хлеб Урожай Тостовый Мультизлак 350г форм уп нар;Хлеб
Мука Безымянская Пшенич в/с 2кг;Мука
Масло Софос Экстра Ворджин Оливк 500мл;Масло
Крупа Рис Азовские Пампухи кругл 800г;Рис
Крупа Рис Увелка длин/зерн шлиф 800г м/у;Рис
Крупа Кукурузная Агро Альянс Классик 700г;Кукурузная крупа
Крупа Рис Гудвилл Краснодарск шлиф 400г к/уп;Рис
Мука Макфа Рисовая 0,5 кг;Мука
Яблоко Айдаред соц товар вес;Яблоки
Голден яблоко;Яблоки
Смеринка яблоко вес;Яблоки
Яблоки медовые кг;Яблоки
Белый налив яблоки;Яблоки
Золотое яблоко;Яблоки
Яблоко соблазна;Яблоки
Райское яблоко кг;Яблоки
Крупа Манная Гудвилл 700г м/у;Манная крупа
Крупа Ячневая Урожай №3 800г ;Ячневая крупа
Ячневая каша с сухофрук;Ячневая крупа
леновская Ячн круп 650г;Ячневая крупа
Крупа Гречневая Азовские Пампухи 800г;Гречневая крупа
Крупа Перловая Увелка 800г;Перловая крупа
Яйцо 1С ;Яйца
Мак Изд Дель Кастелло Перья риф №49 500г;Макаронные изделия
Сыр Гауда;Сыр
Мак Изд Дель Кастелло Рожки Крупные №55 500г;Макаронные изделия
Мак Изд Аида Пенне Ригате Перо 450г;Макаронные изделия
Геркулес плавл/сыр 60г Дружба 55% фольга;Сыр
Крупа Гречневая Лекфарма Адонис Ядрица 900г;Гречневая крупа
Крупа Манная Ясно Солнышко Марка М 500г;Манная крупа
Огурец (вес) длинноплодный;Огурцы
Свежые огруцы домашние;Огурцы
Огруци  большие гладкие;Огурцы
Огрурец большой колючий;Огурцы
Маленькие огурцы молодцы;Огурцы
Огурцы консерв;Огурцы
Маленькие гладкие огурцы;Огурцы
Огурцы без ГМО;Огурцы
Грейпфрут;Грейпфрут
Володарушка кефир 900г пастер 2,5% п/э;Кефир
Крупа Рис Агрокультура кругл/зерн 800г;Рис
Крупа Гречневая Гудвилл Ядрица 800г м/у;Гречневая крупа
Сок Мой Зеленое Яблоко 0,2л т/п;Сок
Нектар Мой Гранат Виноград 0,95л т/п;Нектар
Хлопья Агро Альянс Классик Геркулес 400г;Овсяные хлопья
Крупа Горох Макфа Колот Шлиф 1/с 800г;Горох
Крупа Горох Азовские Пампухи 800г;Горох
Мак Изд Макфа Кольца в/с 400г;Макаронные изделия
Мак Изд Dala Costa Penne Proteica Перья с Протеин 400г;Макаронные изделия
Сало Копченое;Сало
Крупа Пшеничная Метака Стандарт 700г;Пшеничная крупа
Крупа Рис Националь д/Плова 900г;Рис
Капуста б/к вес соц товар;Капуста
Козачок мак изд 400г Спираль;Макаронные изделия
Крупа Ячневая Агрокультура 600г;Ячневая крупа
Урожай батон 400г Молочный фирменный уп.;Хлеб
Крупа Киноа Агро Альянс 450г;Киноа
Крупа Рис Крупинка дпин/зерн 0,8кг;Рис
Крупа Перловая ААКаскад 900г;Перловая крупа
Мак Изд Агро Альянс Рожок 450г;Макаронные изделия
Крупа Рис Агро Альянс Смесь Золот/Дикого 500г;Рис
Чудо йог 260г Вишня+черешня 1,9% бут;Йогурт
Крупа Горох Гудвилл Экстра Колотый 800г;Горох
Добрыня Сметана 400г 15% п/э;Сметана
Крупа Рис ААКаскад пропар 900г;Рис
Мука Безымянская Пшенич в/с 2кг;Мука
Мука Кудесница Рисовая 500г;Мука
Крупа Рис Агро Альянс д/Суши 500г;Рис
Крупа Рис Националь Японский кругл 800г;Рис
Веселая семья масло 0,9л Подсолн рафинир дезодор;Масло
Яблоко Черный принц;Яблоки
Крупа Артек Урожай Пшенич 800г ;Пшеничная крупа
Грудка филейная;Курица
Мак Изд Reggia Cavatappi Рожки 500г;Макаронные изделия
Хлеб Карельский 300 г -0,9г;Хлеб
Крупа Рис Увелка Длин/Пропар в/п 5*80г;Рис
Прошу к столу! кукуруза 425мл сахарная ж/б;Кукуруза
Крупа Рис Макфа шлиф\кругл 400г;Рис
Перец Болгарский Желтый вес;Перец
Крупа Рис Националь Премиум Смесь Золот/Дик 500г;Рис
Мак Изд Аида Челлентани Рожок Витой 450г;Макаронные изделия
Крупа Рис Националь Басмати Премиум 500г;Рис
Крупа Ячневая ВоЛожка Ячм/Ароматная 700г;Ячневая крупа
Мак Изд Галина Бланка Спираль 370г;Макаронные изделия
Крупа Гречневая Националь Ядрица 900г;Гречневая крупа
Лук (вес) Репчатый;Лук
Крупа Пшеничная ВоЛожка Полтавская700г;Пшеничная крупа
Масло МакМай Подсолнечное н/раф 1 Сорт 1л/920г пэт;Масло
Мука Макфа Пшеничная Экстра 2кг;Мука
Мак Изд Шебекенские Лагман Лапша 350г;Макаронные изделия
Саратовский маргарин 250г Домашний 60% пергамент;Маргарин
Крупа Пшеничная Крупинка 0,8кг;Пшеничная крупа
Хлеб Урожай Бездрожжевой с Отрубями 300г уп;Хлеб
Крупа Рис Агро Альянс Смесь Басм/Дикого 500г;Рис
Мак Изд Макфа Мини Трубочки в/с 450г;Макаронные изделия
Огурец (вес) короткоплодный;Огурцы
Мак Изд Кардинале Вермишель 400г;Макаронные изделия
Кубанская Марка масло 0,8л Подсолн Рафинир  ;Масло
Мак Изд Дала Коста Цв Космические 200г;Макаронные изделия
Крупа Маш АА Экстра 450г;Маш
Мука Безымянская Пшенич в/с 1кг;Мука
Мак Изд Реджия Спираль 500г;Макаронные изделия
Мука Россия Нова Пшеничная в/с 2кг;Мука
Мак Изд Алмак Рожки в/с 400г;Макаронные изделия
Мак Изд Федеричи Вермишель 400г;Макаронные изделия
Крупа Рис Националь Адриатика кругл 800г;Рис
Мак Изд Макфа Птитим в/с 400г;Макаронные изделия
Крупа Рис Националь Гигант длин/зерн 800г;Рис
Мак Изд Кардинале Рожки 400г;Макаронные изделия
Мак Изд Дель Кастелло Спиральки №57 500г;Макаронные изделия
Пепси нап 2л пэт ;Пепси
Мак Изд Знатные Перья №77 400г;Макаронные изделия
Хлеб отрубной 340 г -3,0%;Хлеб
Крупная Фасоль Белая вес;Фасоль
Крупа Гречневая Макфа Ядрица быстр/вар 800г;Гречневая крупа
Крупа Гречневая Макфа Зеленая 400г;Гречневая крупа
Мак Изд Гранд ди Паста Витки 450г;Макаронные изделия
Крупа Кукурузная Увелка 750г;Кукурузная крупа
Крупа Пшено Увелка шлиф 5*80г вар/пак;Пшено
Мак Изд Урожай Ракушки в/с;Макаронные изделия
Крупа Горох Агрокультура шлиф 800г;Горох
Крупа Рис Просто Басмати 500г;Рис
Масло Олейна Подсолнечное Классическое 1л пэт;Масло
Мак Изд Боттега Дель Соле Спирали 400г;Макаронные изделия
Крупа Пшено Гудвилл шлиф 800г м/у;Пшено
Глечик пряженка 320г кисломолочн продукт 3,2% пл/ст;Ряженка
Мак Изд Альпина Звездочки 0,9кг;Макаронные изделия
Крупа Кукурузная Макфа №4 700г;Кукурузная крупа
Хлопья Агрокультура Овсяные Геркулес 400г;Овсяная крупа
Крупа Манная Агрокультура 700г;Манная крупа
Огурец Святогор вес 152,99;Огурцы
Крупа Рис Националь Премиум Смесь Дик/Бур 500г;Рис
Мак Изд Агро Альянс Вермишель 450г;Макаронные изделия
Масло Слобода Подсолнечное н/раф 1л пэт;Масло
Крупа Нут Националь в/с 450г;Нут
Крупа Рис ВоЛожка Басмати 800г;Рис
Крупа Рис Националь Азиатский длин/зерн 900г;Рис
Крупа Рис Лекфарма Адонис длин/зерн шлиф 0,9кг;Рис
Крупа Рис Националь Золото Тайланда длин/зерн 900г;Рис
Крупа Рис Крупинка Круглый 0,8кг;Рис
Хлеб Бородинский 300 г -0,9г;Хлеб
Мак Изд Pasta Palmoni Виток ГОСТ 400г;Макаронные изделия
Крупа Рис Гудвилл пропар/шлиф 800г м/у;Рис
Коровка из Кореновки сгущ мол 360г вареное с сахар 8,5% ж/б ключ;Сгущенное молоко
Капуста Цветная вес 115,00;Капуста
Батон Городской 400г -3,0%;Хлеб
Крупа Кускус Агро Альянс Экстра 450г;Кускус
Крупа Гречневая Гудвилл Ядрица 800г м/у;Гречневая крупа
Мак Изд Агро Альянс Спираль 450г;Макаронные изделия
Крупа Пшено Увелка шлиф 800г;Пшено
Мак Изд Макфа Перья Любител в/с 400г;Макаронные изделия
Крупа Чечевица Националь Красная в/с 450г;Чечевица
Молочный Мир молоко 1л стерил 3,2% т/п;Молоко стерилизованное
Крупа Булгур Крупинка Классич 0,8кг;Булгур
Бабушкина крынка творог 4ООг Деревенский 5% пакет;Творог
Лимон;Лимон
Свекла;Свекла
Прошу к столу! кукуруза 425мл сахарная ж/б;Кукуруза
